Channel Name,Country,Subscribers,Views,Uploads,Genre,Monthly Salary,Annual Salary
Venus Movies,IN,6617268,2627985374,2843,Entertainment,287250,3452750
HOLLYWOOD HINDI,,478162,117139196,58,Miscellaneous,165500,1966800
Zee Marathi,IN,3226253,2454655982,53252,Entertainment,288000,3453300
Vlad and Nikita,,0,2589271004,75,Miscellaneous,1061750,12600000
Totoykids Español,MX,3341035,1283848195,372,Miscellaneous,266350,3188050
HTV Entertainment,VN,3750134,2021139339,10642,Entertainment,257800,3082000
Liova and Toys,US,6217776,660284021,19,Miscellaneous,270750,3241100
michaeljacksonVEVO,US,8516721,5898399006,92,Music,288800,3453850
SR Toys Collection,AU,0,3600479733,1821,Entertainment,375400,4514950
Leyenda20002,,38718,60180843,197,People,4622.5,55500
Mikecrack,ES,0,2169749064,1159,Games,313900,3771600
Hindi Fairy Tales,AE,2805842,875398746,100,Miscellaneous,278950,3346900
DLS News,IN,0,775542949,1764,Miscellaneous,253600,3029050
Stephen Sharer,US,4898154,1681157271,416,Entertainment,259350,3133050
Mnet K-POP,KR,8562930,4712717703,13241,Entertainment,285100,3401250
Saturday Night Live,US,6908422,5104677380,6494,Entertainment,359650,4303850
David Guetta - Topic,,200523,29434580,1242,Music,13500,162000
Bibi TV,,13553,3853817,5,Miscellaneous,485.5,5843
Peppa Pig em Português Brasil - Canal…,BR,3300368,471031622,281,Film,60700,742850
MBCentertainment,KR,4438473,5474840385,59866,Entertainment,264950,3187000
Hasbro,US,2839870,3773120780,8897,Film,289600,3454400
Sesame Street,US,4247063,5469569113,2626,Entertainment,271300,3241500
littlemixVEVO,GB,8348258,3647635087,124,Music,275550,3294500
Lady Diana,UA,3014550,979566914,225,Entertainment,267700,3188950
Baby Big Mouth,CA,9533370,10745146138,3297,Entertainment,273550,3293100
MalumaVEVO,US,15102331,10384386336,90,Music,264850,3186950
Tasty,US,10947530,1996157666,2427,People,256950,3081400
ShawnMendesVEVO,US,11516775,5314264855,106,Music,268850,3239800
GMMTV,TH,3763106,2373542907,6455,Entertainment,258750,3082650
Ninja Kidz TV,US,2961662,1048771757,78,Miscellaneous,262750,3135500
Swan The Voice - Néo & Swan,FR,3352772,2767921686,1340,Entertainment,246500,2974000
BestOfTontoDikeh,NG,1984936,572293028,1925,Film,186000,2231300
B4by colors TV,,329,5403,95,Music,10.5,125.5
LEGO,DK,6557653,8381729254,19550,Entertainment,275350,3294400
Sony PAL,IN,3688458,1819076215,7919,Shows,278400,3346500
CNN,US,5220458,3869434322,143158,News,279750,3347500
Aditya Movies - Telugu & Hindi,IN,3133062,1171143199,3781,Entertainment,242100,2920900
Operación Triunfo Oficial,ES,814962,911675785,3854,Entertainment,259950,3133500
Chill Nation,US,6429153,1833122303,998,Music,236600,2817000
MNCTV Official,ID,2556116,1553485601,14866,Entertainment,265850,3187650
White Hill Music,IN,5853903,2287021545,2944,Music,267500,3188800
Jhankar ChannelHD,,447848,164074145,107,People,18600,223300
5-Minute Crafts GIRLY,US,7104324,985887592,874,Howto,363100,4356300
Learn Colors Rice,US,2633401,341931770,53,Miscellaneous,30050,360950
WOW ENGLISH TV,GB,2126025,1730084113,306,Education,249200,2975900
Jingle Toons,IN,6508425,2238031910,172,Film,266600,3188200
Toys Make Me Smile,US,4772875,1470275674,80,Entertainment,265300,3187300
Queen Official,GB,5885729,3402621312,748,Music,383800,4620900
Sonotek Haryanvi,IN,6536707,2487373402,6595,Music,268500,3239550
piso21music,CO,4187603,2808769503,69,Music,260950,3134200
Coca-Cola,US,2668851,1857176235,2559,Film,196000,2338350
RomeoSantosVEVO,US,9182387,7165945626,139,Music,252350,3028100
VEGETTA777,ES,24568146,9637883491,4834,Games,257400,3081700
Zee Telugu,IN,3291722,2625761746,69046,Entertainment,283700,3400250
EnriqueIglesiasVEVO,US,13805068,11503297112,131,Music,257000,3081450
BillieEilishVEVO,,684240,477303376,30,Music,256150,3080850
Surya Citra Televisi (SCTV),ID,2759721,1545522239,17166,Entertainment,265500,3187450
Penguins TV,US,1812406,345327812,255,Film,221850,2656600
ToyTocToc,US,4153690,1312292556,439,Entertainment,234350,2815400
Reaction Time,US,10641055,3181218233,1261,Entertainment,298500,3560700
RizaNovaUZ,RU,2505726,2458224417,8850,Music,215350,2602000
GENIAL,,11707726,1578325329,1493,Howto,274150,3293500
HAR PAL GEO,PK,2813225,1348449415,5027,Entertainment,253750,3029100
iGAMING TV,VN,1715117,732176755,369,Games,261150,3134350
La Rosa Hd,MX,2804779,1349257931,1499,Miscellaneous,222600,2657150
Thairath,TH,4533247,2773422752,98264,News,273950,3293400
Green Gold,IN,4655545,2271020103,600,Film,293450,3507150
MikelTube,ES,2400160,1476052550,574,Entertainment,242350,2921050
Bee Kids Games - Children TV,,0,720735622,805,People,225050,2708850
Yeni Gelin,TR,1231158,1422082418,1194,People,241150,2870200
MINIC BABIES,TR,0,0,0,Miscellaneous,0,0
FunFun ToyShow,US,5282886,2184012971,496,Entertainment,258850,3082700
DEL Records,US,5137377,3830714735,1891,Music,266050,3187800
MariAndKids,KR,1892693,755432863,680,Entertainment,204500,2444300
Martin Garrix,NL,11060913,3116571250,107,Music,221550,2656400
TRANS7 OFFICIAL,ID,2593961,1145732547,33997,Entertainment,252000,3027900
KatyPerryVEVO,US,26596341,16513460331,125,Music,244300,2922450
Wrestling Zone,,1785557,428276048,177,Miscellaneous,150350,1806100
Princess Bánh Bao,CA,3452454,1310135477,541,Entertainment,238300,2868250
Caso Cerrado,US,4431899,2471616191,2764,Entertainment,251100,3027250
Los Juguetes Son Divertidos,MX,3158527,773464800,83,Entertainment,258100,3082200
Emily Tube,GB,8032731,2674952118,520,Entertainment,202950,2443250
Chad Wild Clay,US,5228022,959695018,256,Entertainment,210300,2548500
Life of Sammie,US,2655716,783981756,45,Entertainment,223600,2707850
Brancoala,BR,4348746,2186046457,732,Entertainment,254800,3079850
Ceeday,US,4539402,591661993,368,Games,197950,2389700
Not Vanimy,BA,132885,2398834,15,Miscellaneous,584,6905.5
DisneyChannelLA,AR,10230236,7828303834,3594,Entertainment,240300,2869600
Brianna's Secret Club TH,TH,2352954,818489645,751,Entertainment,213700,2550900
KBSEntertain,KR,2661555,2670490879,73474,Entertainment,312100,3770300
PopularMMOs,US,15676846,12152173411,4283,Games,247550,2974750
RB FASHION WORLD,,180893,62856430,33,Miscellaneous,124650,1487950
LEGENDA FUNK,BR,7328055,1585034746,3898,Music,270150,3240700
Pop Chartbusters,IN,5041127,2614019243,1923,Music,251150,3027300
DisneyMusicVEVO,US,11390835,7162385044,722,Music,252350,3028100
Mr. Moment,RU,137751,47940498,298,Film,48150,584000
Phim HOT TK-L,VN,1574639,682536932,2796,Miscellaneous,255150,3080100
MUON RATH,KH,164641,70151518,34,Miscellaneous,159700,1912750
Telemundo,US,5907719,3634234612,14951,Entertainment,227500,2710600
Mnet Official,KR,4692779,3343873081,11151,Entertainment,268850,3239800
Got Talent Global,GB,5611557,2376278623,1051,Entertainment,220300,2655550
T-Play,US,2563188,793896651,138,Miscellaneous,242500,2921150
ABS-CBN News,PH,4957457,3651408091,87522,News,218650,2604350
Dessin Animé pour Enfants,,2183658,653485300,37,Miscellaneous,262600,3135350
VanossGaming,CA,23820687,10099274862,891,Games,237950,2867950
Satisfy Channel,US,1546577,476295701,289,Miscellaneous,223800,2707950
LY LY ToysReview,,303,7150,77,Miscellaneous,3.205,41.5
Kids Learning HD Toy Egg Videos,,0,109101431,316,Education,211550,2549350
Earth,IN,3057084,325050344,32,Entertainment,124500,1487900
Blippi,US,2882094,2382679687,150,Education,242100,2920850
Cartoon Network,US,3811204,3636168386,6589,Entertainment,245200,2923100
JP Plays,BR,5215958,1407468564,1967,Games,220700,2655800
Kodak Black,,4258546,1902506678,226,Music,245550,2923350
ZicZic Baby,,2075939,307244552,34,Education,232750,2814300
Super Polina,US,3806516,962848925,278,People,230250,2762550
Think Music India,IN,3725337,2220545460,2418,Music,252450,3028200
JonasBlueVEVO,US,2201985,1774118490,52,Music,217300,2603400
TheGrefg,ES,8427713,2028734355,2258,Games,226200,2709650
BCC Trolling,GB,8160724,1972577976,3474,Games,229900,2762300
Crafty Panda,US,1930446,313280010,50,Howto,187050,2232050
Scopian01,US,1710728,1470873325,728,Entertainment,267600,3188900
ThaliaVEVO,US,2352670,2644602993,140,Music,249700,2976250
Toys Unlimited,US,6368110,4251138448,1568,Film,241150,2870200
infobells,IN,3304526,1081441927,262,Education,207750,2496700
So Yummy,US,4151912,835771664,163,Miscellaneous,243000,2921500
TV Thunder Official,TH,3154496,1814015932,7370,Entertainment,203850,2443900
NFL,US,4033272,2422618194,14853,Sports,212800,2550250
Lokdhun Punjabi,IN,5720794,1910733727,1376,Music,166050,2017250
NollywoodStreams,NG,3689610,1528899361,1754,Entertainment,210050,2498300
Corazón Telenovelas,FR,110770,26219972,300,Miscellaneous,6003,72050
IDEAS EN 5 MINUTOS,,5705339,884215793,1322,Miscellaneous,237150,2867400
Ryan ToysReview,US,16992127,25474969454,1199,Entertainment,505600,6056900
Mr Bean,GB,10329658,4039518200,1352,Comedy,202000,2442600
Daddy Yankee,PR,17262995,6022246155,324,Music,224400,2708400
StarPlus,IN,7349790,1669679666,7134,Entertainment,245150,2923050
Sun TV,,2759543,207436593,804,Entertainment,215850,2602350
Markiplier,US,22198774,10281605306,4248,Games,221900,2656650
avex,JP,4338923,6421216762,9298,Music,211050,2549000
HaAshVEVO,US,4158890,3918967562,133,Music,218600,2604300
World Train Toys,JP,1180101,225982832,321,Miscellaneous,170250,2020200
RihannaVEVO,US,26478611,13318133956,106,Music,219150,2604650
La Virgen de Guadalupe Nos Cuida,,22530,4083397,916,Miscellaneous,1380,16300
ABC News,US,4763327,4520073583,44493,News,241000,2870100
FAP TV,VN,7521944,2871576136,378,Entertainment,209750,2498050
YoungBoy Never Broke Again,US,3781569,2012776193,190,Entertainment,286400,3452150
Ninja,US,19579975,1483066782,770,Games,200700,2391650
GMM25Thailand,TH,4666244,3450557748,14744,Entertainment,182450,2178800
Linkin Park - Topic,,163743,55609540,585,Music,10650,127650
Enes Batur,TR,8718354,3913945727,1701,Games,221200,2656150
Collins Key,US,14900197,2467515366,221,Entertainment,233050,2814500
Guava Juice,US,12186733,4875927401,1201,Entertainment,218350,2604150
Pac Pac TV,,1090234,253895456,9,Miscellaneous,232150,2763850
Clean Bandit,GB,6545126,4137315568,71,Music,250150,3026600
Zee Tamil,IN,3220463,1727733190,30629,Entertainment,229700,2762150
India News and Entertainment World,,263661,54311967,839,Entertainment,101000,1221300
Hina Health & Beauty,PK,145002,49408386,6,Miscellaneous,149950,1805850
Insta'Lives,,585348,224218492,556,Miscellaneous,131250,1592650
TV One,US,112033,29936292,1037,Entertainment,5366.5,64550
1MILLION Dance Studio,KR,12202500,2850197865,1290,Entertainment,211150,2549050
Gato Galactico,BR,7998360,1445890567,649,Entertainment,195700,2338150
El Sica Official,PR,91202,13459087,87,Music,638.5,7863
Bouncing Baby TV,US,4460254,783429172,34,Miscellaneous,497750,5951350
IGN,US,11026012,8281477427,130385,Games,220250,2655450
Mimonona Stories,PA,3897440,1101941768,277,Entertainment,227500,2710600
Lucas and Marcus,,12467729,2803641658,369,Entertainment,223850,2708000
Official Pink Panther,US,4997640,2662160472,430,Film,204500,2444300
Flow La Movie,,4440588,1548083884,19,People,210200,2498400
VikatanTV,IN,3535303,2491935366,9741,Shows,215750,2602300
Hong Giang DIY Slime,US,2756041,802117978,359,Games,238750,2868550
Home Bollywud,IN,2514427,936002110,1268,Miscellaneous,203100,2443350
TygaVEVO,US,3585484,1937976804,120,Music,233950,2815150
Dr. Phil,US,3384286,2727316926,7702,Entertainment,296900,3559600
Fortnite Funny,,1811548,506933410,436,People,167850,2018500
Wiz Khalifa - Topic,,215214,61710166,603,Music,10200,122550
KN Channel,US,4402084,2360371761,610,Entertainment,204150,2444100
MK MUSIC,BR,5854671,2406535414,2979,Music,203950,2443950
Tom Slime,US,3534117,1012293459,346,Miscellaneous,229850,2762250
Cardi B - Topic,,31575,68847235,60,Music,106700,1275300
shfa,AE,2620297,871223794,388,Film,222450,2657050
Paulo Londra,AR,6720582,1179882609,19,Miscellaneous,228100,2761050
JTBC Entertainment,KR,2748016,3262250878,45005,Entertainment,220300,2655500
Turma da Mônica,BR,9238444,7225730744,723,Film,219450,2654900
atv,TR,3235156,3483405242,13230,Entertainment,202200,2442750
LosPolinesios,MX,15990144,2986744105,416,People,219150,2654700
MrSuicideSheep,CA,10437707,4135464086,2126,Entertainment,212000,2549650
BeyoncéVEVO,US,13708690,9001621293,131,Music,211550,2549300
Viki Show,RU,3542787,1190535644,320,Entertainment,230450,2762700
realnollywoodclips,NG,4340418,1410623576,3122,Entertainment,191600,2285250
WB Kids,US,2334680,789117288,1104,Film,210200,2498400
Tic Tac Toy,US,2060169,1014963060,325,Entertainment,109150,1327100
Câmeras Escondidas Programa Silvio Santos,BR,3308946,1378538823,887,Entertainment,194300,2337100
How Ridiculous,AU,3762520,531169435,206,Sports,180250,2177250
Lele Pons,US,12335630,2092196213,97,Comedy,141850,1700100
And TV,IN,3370002,2638136653,20944,Entertainment,209950,2498200
GRM Daily,GB,1473376,1356612788,5701,Music,191800,2285400
5-Minute Crafts KIDS,US,8068717,1517214057,1096,Howto,235450,2816200
Lil Peep,,3265891,769983833,22,Music,203000,2443250
JustinBieberVEVO,US,34110723,18025898212,123,Music,215800,2602350
DANIEL EL TRAVIESO VIDEOS,PR,3514002,1037508184,198,Comedy,213250,2550550
TrapUrbanoTV,PE,2345115,466198309,133,Music,112850,1329650
rosibell1,ES,214613,93894759,21,Film,129200,1541200
Goldmines Hindi,IN,2371201,772852191,313,Film,206200,2495550
jacksepticeye,IE,20696694,10253682014,3935,Games,199700,2390950
Facts Verse,US,5714358,1718560557,1082,Entertainment,180550,2177450
SQUEEZIE,FR,11823277,5494501685,1258,Comedy,201150,2392000
Ultra Regional,IN,3287063,1741105397,3314,Entertainment,0,0
Nickelodeon,US,4795051,2877098014,3047,Entertainment,198900,2390400
Apple India,,2236206,320291884,127,Tech,83450,1008900
Len Ken,US,2615482,1430939228,277,Entertainment,189400,2283650
League of Legends,US,9650668,2391541083,930,Games,315400,3772650
HZHtube Kids Fun,CA,4944069,1036169013,297,Entertainment,126050,1488950
SyrebralVibes,US,2149609,1261401076,265,Music,219850,2655150
Willyrex,ES,13082641,3076081280,4451,Games,203350,2443550
Car Toys TV,US,330859,69826,131,Miscellaneous,24,286.5
Muselk,AU,7219533,2124480725,1291,Games,204600,2444400
Sidharth Music,IN,973809,234406522,859,Entertainment,40950,491550
Sai Recordds Digital,IN,1695769,654653796,2380,Music,203850,2443900
Masha e o Urso,,4699610,1548293417,242,Film,212300,2549850
CreativeKids,VN,1824412,1553529570,487,Entertainment,191200,2284950
Zic Zic,,5341524,1383777147,292,Education,176750,2124750
Amusement Force,,13,265,3,Miscellaneous,0.065,0.545
DIEN QUAN Comedy / Hài,VN,3440216,2502118740,2462,Entertainment,206000,2495450
SMVLL,ID,994861,157280067,66,Miscellaneous,210150,2498350
Morphle TV,US,4275001,3256108396,389,Entertainment,174000,2072800
Kid Studio,VN,2982419,2089774386,1237,Entertainment,150500,1806250
CamilaCabelloVEVO,,5660020,3060242990,27,Miscellaneous,191400,2285100
AdeleVEVO,GB,16209247,7609434973,31,Music,200750,2391700
MBCClassic,KR,1100680,2213713794,44863,Entertainment,183650,2179650
Bollywood Classics,IN,6605900,3126509495,1710,Music,497800,5951400
Thuy Nga,US,2018468,1687951246,1994,Film,188400,2283000
